user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG093	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575	GCA_001689575.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575	96.53	0.81	GCA_001689575.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575	96.53	0.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001689495.1, s__Duncaniella sp001689495, 95.0, 79.42, 0.36; GCA_001701225.1, s__Duncaniella sp001701225, 95.0, 78.72, 0.32; GCA_002492665.1, s__Duncaniella sp002492665, 95.0, 78.33, 0.37; GCF_003024805.1, s__Duncaniella muris, 95.0, 78.3, 0.27; GCA_001689425.1, s__Duncaniella sp001689425, 95.0, 77.91, 0.21; GCA_002494015.1, s__Duncaniella sp002494015, 95.0, 77.57, 0.21	89.86	11	N/A	N/A
MAG140	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	GCF_001688725.2	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	99.92	0.99	GCF_001688725.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	99.92	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 92.84, 0.7; GCA_000613385.1, s__Bacteroides acidifaciens, 95.0, 90.31, 0.6; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 89.85, 0.7; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 85.15, 0.59; GCF_000156195.1, s__Bacteroides finegoldii, 95.0, 83.98, 0.52; GCA_900066265.1, s__Bacteroides sp900066265, 95.0, 83.45, 0.53; GCF_002222615.2, s__Bacteroides caccae, 95.0, 83.3, 0.52; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 82.41, 0.54; GCF_900106755.1, s__Bacteroides faecis, 95.0, 81.96, 0.52; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 80.7, 0.4; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 80.52, 0.38; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 79.75, 0.17; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 79.14, 0.22; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 79.08, 0.24; GCF_000613465.1, s__Bacteroides nordii, 95.0, 78.73, 0.25; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 78.72, 0.27; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 78.65, 0.23; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.58, 0.25; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 78.57, 0.26; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 78.49, 0.2; GCF_000154205.1, s__Bacteroides uniformis, 95.0, 78.48, 0.19; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 78.47, 0.18; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 78.47, 0.23; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 78.45, 0.2; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.45, 0.21; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 78.4, 0.16; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 78.38, 0.18; GCF_900130135.1, s__Bacteroides togonis, 95.0, 78.37, 0.11; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 78.35, 0.22; GCF_000511775.1, s__Bacteroides pyogenes_A, 95.0, 78.33, 0.26; GCA_000614125.1, s__Bacteroides rodentium, 95.0, 78.31, 0.2; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 78.23, 0.1; GCF_900129655.1, s__Bacteroides clarus, 95.0, 78.22, 0.2; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 78.2, 0.23; GCF_900241005.1, s__Bacteroides cutis, 95.0, 78.11, 0.2; GCF_000499785.1, s__Bacteroides neonati, 95.0, 78.06, 0.16; GCA_003545565.1, s__Bacteroides sp003545565, 95.0, 77.94, 0.21; GCA_000437135.1, s__Bacteroides intestinalis_A, 95.0, 77.8, 0.16; GCF_002998535.1, s__Bacteroides heparinolyticus, 95.0, 77.69, 0.14; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.61, 0.16; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 77.51, 0.1; GCA_002491635.1, s__Bacteroides sp002491635, 95.0, 77.49, 0.18; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 77.48, 0.12; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 77.39, 0.09; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 77.24, 0.11; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.24, 0.13; GCF_900128905.1, s__Bacteroides luti, 95.0, 77.18, 0.08; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 77.08, 0.11; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.97, 0.12	97.02	11	N/A	N/A
MAG012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	GCA_001689685.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	99.71	0.95	GCA_001689685.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	99.71	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001701135.1, s__UBA7173 sp001701135, 95.0, 78.9, 0.35; GCA_002491305.1, s__UBA7173 sp002491305, 95.0, 78.54, 0.28; GCA_001689485.1, s__UBA7173 sp001689485, 95.0, 78.38, 0.17	97.04	11	N/A	N/A
MAG094	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002361215	GCA_002361215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002361215	99.14	0.84	GCA_002361215.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002361215	99.14	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002362485.1, s__CAG-485 sp002362485, 95.0, 77.5, 0.08; GCA_002493515.1, s__CAG-485 sp002493515, 95.0, 77.25, 0.14; GCA_001701295.1, s__CAG-485 sp001701295, 95.0, 77.23, 0.07; GCA_002491165.1, s__CAG-485 sp002491165, 95.0, 77.16, 0.16; GCA_002404675.1, s__CAG-485 sp002404675, 95.0, 77.15, 0.15; GCA_002361235.1, s__CAG-485 sp002361235, 95.0, 76.93, 0.12; GCA_000437495.1, s__CAG-485 sp000437495, 95.0, 76.84, 0.11; GCA_002361155.1, s__CAG-485 sp002361155, 95.0, 76.8, 0.14; GCA_900321585.1, s__CAG-485 sp900321585, 95.0, 76.63, 0.14; GCA_002491945.1, s__CAG-485 sp002491945, 95.0, 76.55, 0.09; GCA_002493045.1, s__CAG-485 sp002493045, 95.0, 76.42, 0.08	97.48	11	N/A	N/A
MAG017	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	GCA_002358415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	99.83	0.98	GCA_002358415.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	99.83	0.98	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900290115.1, s__Alistipes sp900290115, 95.0, 82.82, 0.66; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 82.47, 0.63; GCF_000210575.1, s__Alistipes shahii, 95.0, 82.25, 0.64; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 81.9, 0.63; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 81.86, 0.62; GCF_002159375.1, s__Alistipes sp002159375, 95.0, 81.76, 0.59; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 81.68, 0.58; GCF_900107675.1, s__Alistipes timonensis, 95.0, 81.42, 0.6; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 81.22, 0.58; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 81.09, 0.62; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 80.95, 0.54; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 80.83, 0.6; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 80.65, 0.52; GCF_000311925.1, s__Alistipes obesi, 95.0, 80.49, 0.5; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.72, 0.35; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 78.57, 0.34; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.18, 0.13	95.42	11	N/A	N/A
MAG040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	GCF_000403335.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	99.06	0.9	GCF_000403335.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	99.06	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002492295.1, s__COE1 sp002492295, 95.0, 82.23, 0.64; GCF_000403215.1, s__COE1 sp000403215, 95.0, 78.15, 0.23; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.35, 0.24; GCA_002491195.1, s__COE1 sp002491195, 95.0, 77.31, 0.17; GCA_002358575.1, s__COE1 sp002358575, 95.0, 77.28, 0.17; GCA_001916965.1, s__COE1 sp001916965, 95.0, 76.98, 0.08; GCA_003513705.1, s__COE1 sp003513705, 95.0, 76.84, 0.1	87.26	11	N/A	N/A
MAG145	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	N/A	N/A	N/A	N/A	N/A	GCA_002490525.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp002490525	83.37	0.74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	Placement	taxonomic classification fully defined by topology	GCA_000432435.1, s__CAG-180 sp000432435, 95.0, 77.9, 0.12; GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 77.67, 0.28; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 76.78, 0.11; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 76.71, 0.08; GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 76.51, 0.12; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 76.28, 0.1	96.71	11	0.983599121688	N/A
MAG042	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__	N/A	N/A	N/A	N/A	N/A	GCA_900066845.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp900066845	79.36	0.3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__	Placement	taxonomic classification fully defined by topology	GCA_002305725.1, s__UBA1394 sp002305725, 95.0, 78.15, 0.2	98.47	11	0.95183541586	N/A
MAG106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA946;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.71	11	0.869867784047	N/A
MAG109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	Placement	taxonomic classification fully defined by topology	GCA_002492075.1, s__CAG-115 sp002492075, 95.0, 78.0, 0.32; GCA_002425305.1, s__CAG-115 sp002425305, 95.0, 77.96, 0.3; GCA_002304735.1, s__CAG-115 sp002304735, 95.0, 77.72, 0.28; GCA_003516865.1, s__CAG-115 sp003516865, 95.0, 77.54, 0.26; GCA_000432175.1, s__CAG-115 sp000432175, 95.0, 77.36, 0.14; GCA_003531585.1, s__CAG-115 sp003531585, 95.0, 77.19, 0.16; GCA_003507295.1, s__CAG-115 sp003507295, 95.0, 76.92, 0.11	87.72	11	0.955270830527	N/A
MAG051	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	Placement	taxonomic classification fully defined by topology	GCA_002492075.1, s__CAG-115 sp002492075, 95.0, 77.91, 0.22; GCA_000432175.1, s__CAG-115 sp000432175, 95.0, 77.24, 0.16; GCA_003531585.1, s__CAG-115 sp003531585, 95.0, 77.1, 0.17; GCA_002304735.1, s__CAG-115 sp002304735, 95.0, 77.08, 0.21; GCA_002425305.1, s__CAG-115 sp002425305, 95.0, 76.98, 0.21; GCA_003507295.1, s__CAG-115 sp003507295, 95.0, 76.78, 0.17; GCA_003516865.1, s__CAG-115 sp003516865, 95.0, 76.58, 0.19	96.92	11	0.920709975905	N/A
MAG019	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__	N/A	N/A	N/A	N/A	N/A	GCA_002369315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__UBA3818 sp002369315	79.13	0.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.27	11	0.969689217487	N/A
MAG065	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_000949455.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	79.38	0.41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	Placement	taxonomic classification fully defined by topology	GCA_003149955.1, s__Ruthenibacterium sp003149955, 95.0, 78.03, 0.24; GCA_002315015.1, s__Ruthenibacterium sp002315015, 95.0, 77.08, 0.1	98.19	11	0.946628962183	N/A
MAG110	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	N/A	N/A	N/A	N/A	N/A	GCF_900169975.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__Marseille-P3106 sp900169975	79.13	0.3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	90.95	11	0.953117924647	N/A
MAG135	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	N/A	N/A	N/A	N/A	N/A	GCF_900169975.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__Marseille-P3106 sp900169975	79.12	0.36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.89	11	0.952515536645	N/A
MAG010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.06	11	0.938357975625	N/A
MAG136	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	95.97	11	0.936794589577	N/A
MAG076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000492175.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000492175	85.02	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	Placement	taxonomic classification fully defined by topology	GCF_002160305.1, s__Lawsonibacter sp002160305, 95.0, 81.41, 0.44; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 80.41, 0.34; GCA_900066825.1, s__Lawsonibacter sp900066825, 95.0, 80.31, 0.39; GCF_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 80.28, 0.39; GCF_000177015.3, s__Lawsonibacter sp000177015, 95.0, 80.19, 0.37; GCA_900066645.1, s__Lawsonibacter sp900066645, 95.0, 79.63, 0.36	92.16	11	0.985629150968	N/A
MAG117	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000492175.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000492175	83.41	0.63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	Placement	taxonomic classification fully defined by topology	GCF_002160305.1, s__Lawsonibacter sp002160305, 95.0, 80.46, 0.4; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 79.57, 0.35; GCF_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 79.42, 0.4; GCA_900066825.1, s__Lawsonibacter sp900066825, 95.0, 79.4, 0.37; GCF_000177015.3, s__Lawsonibacter sp000177015, 95.0, 79.14, 0.35; GCA_900066645.1, s__Lawsonibacter sp900066645, 95.0, 79.0, 0.35	72.88	11	0.981244654041	N/A
MAG139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000403435.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	82.32	0.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	Placement	taxonomic classification fully defined by topology	GCA_900066435.1, s__Oscillibacter sp900066435, 95.0, 80.76, 0.39; GCA_000436875.1, s__Oscillibacter sp000436875, 95.0, 79.54, 0.44; GCA_001916835.1, s__Oscillibacter sp001916835, 95.0, 78.95, 0.47; GCF_900115635.1, s__Oscillibacter sp900115635, 95.0, 78.41, 0.25; GCA_002455655.1, s__Oscillibacter sp002455655, 95.0, 77.9, 0.25; GCA_003245395.1, s__Oscillibacter sp003245395, 95.0, 77.86, 0.24; GCF_000283575.1, s__Oscillibacter valericigenes, 95.0, 77.84, 0.21; GCF_000307265.1, s__Oscillibacter ruminantium, 95.0, 77.78, 0.19	98.63	11	0.959970219984	N/A
MAG044	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000403435.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	81.46	0.53	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	Placement	taxonomic classification fully defined by topology	GCA_900066435.1, s__Oscillibacter sp900066435, 95.0, 80.1, 0.37; GCA_000436875.1, s__Oscillibacter sp000436875, 95.0, 79.27, 0.37; GCA_001916835.1, s__Oscillibacter sp001916835, 95.0, 78.49, 0.45; GCF_900115635.1, s__Oscillibacter sp900115635, 95.0, 77.78, 0.22; GCA_003245395.1, s__Oscillibacter sp003245395, 95.0, 77.58, 0.19; GCA_002455655.1, s__Oscillibacter sp002455655, 95.0, 77.51, 0.23; GCF_000283575.1, s__Oscillibacter valericigenes, 95.0, 77.49, 0.21; GCF_000307265.1, s__Oscillibacter ruminantium, 95.0, 77.34, 0.21	79.64	11	0.959314686774	N/A
MAG083	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000403435.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	81.16	0.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	Placement	taxonomic classification fully defined by topology	GCA_900066435.1, s__Oscillibacter sp900066435, 95.0, 79.42, 0.32; GCA_000436875.1, s__Oscillibacter sp000436875, 95.0, 78.69, 0.35; GCF_900115635.1, s__Oscillibacter sp900115635, 95.0, 78.12, 0.23; GCA_001916835.1, s__Oscillibacter sp001916835, 95.0, 78.04, 0.37; GCF_000283575.1, s__Oscillibacter valericigenes, 95.0, 77.66, 0.16; GCF_000307265.1, s__Oscillibacter ruminantium, 95.0, 77.52, 0.17; GCA_003245395.1, s__Oscillibacter sp003245395, 95.0, 77.47, 0.19; GCA_002455655.1, s__Oscillibacter sp002455655, 95.0, 77.27, 0.21	93.73	11	0.958089383726	N/A
MAG011	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	92.56	11	0.845355031322	N/A
MAG144	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	96.9	11	0.844806674444	N/A
MAG113	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__	N/A	N/A	N/A	N/A	N/A	GCA_003503945.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__UBA11940 sp003503945	77.46	0.26	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.53	11	0.929321180803	N/A
MAG043	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__	N/A	N/A	N/A	N/A	N/A	GCA_003503945.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__UBA11940 sp003503945	76.95	0.18	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	Placement	taxonomic novelty determined using RED	N/A	85.97	11	0.921444155734	N/A
MAG031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	94.7	11	0.809053568511	N/A
MAG146	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA3700;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.91	11	0.827430208851	N/A
MAG039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA3700;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.91	11	0.825097878729	N/A
MAG131	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA3700;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	89.62	11	0.784354847695	N/A
